Districts,Location,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status,has_website,has_contact,is_eco,is_operational,modernization_score,size_score,is_high_risk,competitor_tier
Kumuram Bheem Asifabad,"Pikalagundam, Kunchavelli, Asifabad, Telangana 504219, India",Kunchavelli Bricks,Manufacturing,Unknown,Unknown,Unknown,Unknown,Unknown,91821 81322,https://kunchavelli-bricks.ueniweb.com/?utm_campaign=gmb,https://maps.app.goo.gl/eiggdBKVQvn2LU687,Permanently Closed,True,True,False,False,0,0,False,Tier 4 — Unknown
Kumuram Bheem Asifabad,"Asifabad, Telangana 504293, India",Sri sai flash bricks,Manufacturing,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://maps.app.goo.gl/zyy7ucYjzV2KdbFz8,Permanently Closed,False,False,False,False,0,0,False,Tier 4 — Unknown
Mancherial,"Ration shop line, Mancherial, Telangana 504208, India",R K Bricks,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/waY7D51B13Uh86H97,Running,False,False,True,True,1,2,False,Tier 3 — Hand Made
Mancherial,"Godavarikhani, Ramagundam, Telangana 505209, India",AA Bricks industry,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/pufUQqhm3euF4nqF7,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Mancherial,"Thimmapur, Mancherial, Telangana 504209, India",WILLS CLC & AAC Bricks Industry,Manufacturing,Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9494955456,,https://maps.app.goo.gl/YYF2BDibFoCN5hy6A,Running,False,True,True,True,3,1,False,Tier 1 — Fully Automatic
Mancherial,"CCC Main Rd, Subhash Nagar, Mancherial, Telangana 504302, India",Sri Sai Fly Ash Brick Industries,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/1b8qt5buNhqPP1dD9,Running,False,False,True,True,1,2,False,Tier 3 — Hand Made
Mancherial,"Srirampur bill, near Bharat petrol pump, Naspur, Telangana 504303, India",Sri Sai Krishna Tiles & Fly Ash Bricks RCC Pipes Industries,Manufacturing,Hand Made,Fly Ash Brick,RCC Pipes,Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/wH7QcbvJUHL8mcY77,Running,False,False,True,True,1,2,False,Tier 3 — Hand Made
Mancherial,"shankerpalli, Mandamarri, Telangana 504231, India",Md bricks Light weight bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9866235429,,https://maps.app.goo.gl/H33HGq7GSWsxquoM8,Running,False,True,False,True,1,3,True,Tier 3 — Hand Made
Mancherial,"Elkalapalli, palakurthy, Ramagundam, Telangana 505209, India",SVR BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Small,9866295927,,https://maps.app.goo.gl/vZSozHd8HyjNuf2r9,Running,False,True,False,True,1,1,True,Tier 3 — Hand Made
Mancherial,"Rangapur, Peddapalli, Telangana 505174, India",SVC Bricks Peddapalli,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/vSHXVsDAao4Zv84n8,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Mancherial,"main road Raghavapur, Peddapalli, Telangana 505174, India","Karimnagar Bricks,Samanvi Bricks Suppliers",Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/evGLPBYoD7nzX1Qu8,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
