Districts,Location,Founder,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status
Mancherial,"Ration shop line, Mancherial, Telangana 504208, India",Not Specified,R K Bricks,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/waY7D51B13Uh86H97,Running
Mancherial,"Godavarikhani, Ramagundam, Telangana 505209, India",Not Specified,AA Bricks industry,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/pufUQqhm3euF4nqF7,Running
Mancherial,"Thimmapur, Mancherial, Telangana 504209, India",Not Specified,WILLS CLC & AAC Bricks Industry,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9494955456,Not Specified,https://maps.app.goo.gl/YYF2BDibFoCN5hy6A,Running
Mancherial,"CCC Main Rd, Subhash Nagar, Mancherial, Telangana 504302, India",Not Specified,Sri Sai Fly Ash Brick Industries,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/1b8qt5buNhqPP1dD9,Running
Mancherial,"Srirampur bill, near Bharat petrol pump, Naspur, Telangana 504303, India",Not Specified,Sri Sai Krishna Tiles & Fly Ash Bricks RCC Pipes Industries,Manufacturing,Hand Made,Fly Ash Brick,RCC Pipes,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/wH7QcbvJUHL8mcY77,Running
Mancherial,"shankerpalli, Mandamarri, Telangana 504231, India",Not Specified,Md bricks Light weight bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9866235429,Not Specified,https://maps.app.goo.gl/H33HGq7GSWsxquoM8,Running
Mancherial,"Elkalapalli, palakurthy, Ramagundam, Telangana 505209, India",Not Specified,SVR BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Small,9866295927,Not Specified,https://maps.app.goo.gl/vZSozHd8HyjNuf2r9,Running
Mancherial,"Rangapur, Peddapalli, Telangana 505174, India",Not Specified,SVC Bricks Peddapalli,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/vSHXVsDAao4Zv84n8,Running
Mancherial,"main road Raghavapur, Peddapalli, Telangana 505174, India",Not Specified,"Karimnagar Bricks,Samanvi Bricks Suppliers",Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/evGLPBYoD7nzX1Qu8,Running
Mancherial,"Andgulapet, Telangana 504209, India",Not Specified,Aditya Cement Products,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,"Fly Ash Block, Pavers",Fly Ash Brick Plant,Large,9078562572,Not Specified,https://maps.app.goo.gl/QYkUGJUNem6X7v7AA,Running
Mancherial,"Laxetipet road medariwada mancherial 505208, Mancherial, Telangana 504208, India",Not Specified,Rohan cladding stones,Manufacturing,Hand Made,Fly Ash Brick,"Tiles, Pavers",Fly Ash Brick Plant,Large,7036066881,Not Specified,https://maps.app.goo.gl/enM9aKW4H4ug18ZF6,Running
Mancherial,"Kannal Rural, Telangana 504251, India",Not Specified,LALITHA POWER BRICKS,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Interlocking Block,Fully Automatic Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/i8YarcuSx8rzrjX39,Running
Mancherial,"near Vinayaka Restaurant, Elkalapalli, Ramagundam, Telangana 505210, India",Not Specified,Hanuman constructions fly ash cement bricks,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9182600625,Not Specified,https://maps.app.goo.gl/E2zRTQwn9Y75Dow77,Running
Mancherial,"Old Mancherial Godavari Rd, Old Town, Mancherial, Telangana 504209, India",Not Specified,Manikanta bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/rQWYMjwkXn8j7qDB9,permanently closed
Mancherial,"Tekumatla, opp. Rythu Vedika, Mancherial, Telangana 504216, India",Not Specified,Sri Rajarajeshwara Flyash Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9866948386,Not Specified,https://maps.app.goo.gl/grbBizzk551s5hFJA,Temporarily Closed
Mancherial,"Teegalapahad, Mancherial, Telangana 504302, India",Not Specified,Naga pelli Laxmi Narasimha Swamy fly ash bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,Not Specified,Not Specified,https://maps.app.goo.gl/hczLo9VZBgqrTXM79,Temporarily Closed
Nirmal,"Nirmal, Telangana 504106, India",Not Specified,YAHYA NOOR CEMENT BRICKS INDUSTRY,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,8185987868,Not Specified,https://maps.app.goo.gl/5ihvgpqEukJ4NV8L7,Running
Nirmal,"Gajulpet Langdapur, Vengwapet, Nirmal, Telangana 504110, India",Not Specified,MRA BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,7569327414,Not Specified,https://maps.app.goo.gl/yLoibWZtVSGGvuQd8,Running
Nirmal,"Nirmal, Telangana 504110, India",Not Specified,ECO BLOCKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,8688887700,Not Specified,https://maps.app.goo.gl/XDAG8tZBn6LDuTzx5,Running
Nirmal,"Sofinagar, Nirmal, Telangana 504106, India",Not Specified,CRESCENT BRICKS AND TILES,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,Not Specified,http://crescentbricksandtiles.com/,https://maps.app.goo.gl/zRZx315tix5s5W217,permanently closed
Nirmal,"Dwarakanagar, Priyadarshini Nagar, Nirmal, Telangana 504106, India",Not Specified,Sri mahalaxmi cement bricks industry,Manufacturing,Hand Made,Fly Ash Brick,"Fly Ash Block, Pavers",Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/vCGMah9BDPzVUV8S7,permanently closed
Nirmal,"near Mujhegi, Mujgi, Nirmal, Venkatapur Rural, Telangana 504106, India",Not Specified,VBI BRICKS,Manufacturing,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9000974720,Not Specified,https://maps.app.goo.gl/eSYQvTQ9unBJJeNq8,permanently closed
Nizamabad,"beside tirumala nursing college, Nizamabad, Telangana 503230, India",Not Specified,NRI BRICK'S,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,8328482915,https://nribricks30.wixsite.com/nribricks,Unknown,Running
Nizamabad,"Nehru Nagar, Nizamabad, Telangana 503186, India",Not Specified,NATIONAL CEMENT BRICKS,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9849064288,Not Specified,https://maps.app.goo.gl/vct4AjUFJHKr6S226,Running
Nizamabad,"Borgaon, Vinayak Nagar, Nizamabad, Telangana 503003, India",Not Specified,Sri lakshmi cement bricks,Manufacturing,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,https://maps.app.goo.gl/Mu5rZRGqdwhLkcJ77,permanently closed
Jagtial,"Medipally outskirts, opp. Oil mill, Jagtial, Telangana 505453, India",Not Specified,VSR Bricks Jagtial No 1,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,7585838444,Not Specified,https://maps.app.goo.gl/t2ZJxj2gDMiNhbwz6,Running
Jagtial,"Gollapally Rd, Jagtial, Thimmapur, Telangana 505455, India",Not Specified,SRR CEMENT BRICKS JAGTIAL,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9030444994,Not Specified,https://maps.app.goo.gl/1RWm7QgSa5m7kNva9,Running
Jagtial,"Jagtial - Karimnagar Rd, Mallial, Jagtial, Telangana 505501, India",Not Specified,Fbc Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/u3v6WoAEHLvCuyGf6,Running
Jagtial,"Jagtial, Telangana 505455, India",Not Specified,BDI BRICKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/sv2bhnoPjr6bcGSj6,Running
Jagtial,"4-4-289/1, Jagtial, Telangana 505327, India",Not Specified,MKS cement works jagtial,Manufacturing,Hand Made,Fly Ash Brick,"Fly Ash Block, Pavers",Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/5bMbwuTZy535PUFY9,Running
Jagtial,"Gollapally Rd, beside Bandari gardens, Jagtial, Thimmapur, Telangana 505455, India",Not Specified,Sri Raja Rajeshwara Fly-ash cement bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9704871688,Not Specified,https://maps.app.goo.gl/1LVWfo8fyncFx2gU7,Running
Jagtial,"Mallial Road, kamaan, behind Mallial, Manala, Telangana 505452, India",Not Specified,SRR Bricks and Constructions,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/Kv9g2bKQXmdGsK4r9,Running
Jagtial,"Jagtial, Telangana 505529, India",Not Specified,Sri Rama Cement Bricks,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/sJasijWASJJHvVS86,Running
Jagtial,"Gollapally Rd, Krishnanagar, Jagtial, Telangana 505327, India",Not Specified,Nithya cement bricks company,Manufacturing,Not Specified,Not Specified,Not Specified,Traditional Clay Factory,Not Specified,Not Specified,Not Specified,https://maps.app.goo.gl/weBosbyPxkZnz3qQA,permanently closed
Jagtial,"Jagtial, Telangana 505327, India",Not Specified,Baba sai cement bricks,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/uKaqYopvAGW84BJ66,Temporarily Closed
Peddapalli,"Raghavapur, Peddapalli, Telangana 505174, India",Not Specified,SVM BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/uJFpKg8rPLB6H4EA6,Running
Peddapalli,"Survey No. 737/1, Hyderabad-Ramagundam Road Peddapalli Appannapet, Peddapalli, Telangana 505174, India",Not Specified,M/s. Spoorthi FlyAsh Bricks,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,Not Specified,Not Specified,https://maps.app.goo.gl/4vzPDLXuktPNvtpQ9,Running
Peddapalli,"mallana swamy temple, BC Colony, Gowreddypeta, Peddapalli, Telangana 505174, India",Not Specified,V.i.P Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/2sV1ZHGUJpzMbb2T8,Running
Peddapalli,"1-23/4 Near Flyover Bridge, Shanthi Nagar, Peddapalli, Telangana 505174, India",Not Specified,Sri Santhoshimatha Bricks Industries,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9000077904,Not Specified,https://maps.app.goo.gl/kJXvwdoshVsCWZ9g8,Running
Peddapalli,"JC9C+VG, Gowreddipeta, Telangana 505174, India",Not Specified,KBI Bricks Manufacturing,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/gGztoX29i83VRbn8A,Running
Peddapalli,"Rampally, Peddapalli, Telangana 505174, India",Not Specified,PVN BRICKS INDUSTRY,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9121116999,https://www.instagram.com/pvnbricks.peddapalli?igsh=b3hqMmtmbDVkOTJx&utm_source=qr,https://maps.app.goo.gl/MjVYr1EZrHcUMRsT8,Running
Peddapalli,"Manthani - Peddapalli Rd, Raghavapur, Telangana 505174, India",Not Specified,MTS Bricks Karimnagar,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/p5xDUowjkMkSX66v8,Running
Peddapalli,"1-78,raghavapur, Near Hanuman Temple Peddapalli, Main, Road, Telangana 505174, India",Not Specified,LMN Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9949268139,Not Specified,https://maps.app.goo.gl/8NJVrFMn9QVpvenM7,Running
Peddapalli,"1-4-8, Karimnagar - Peddapalli Rd, near Radha Swamy Temple, Narasaiah pally, Karimnagar, Garrepalle, Telangana 505186, India",Not Specified,Bajarang Bricks Company(BBC),Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9989091075,Not Specified,https://maps.app.goo.gl/pgBHo37swnFqH9Li8,Running
Peddapalli,"Azad chowk, x- road, opposite Flyover, Hussainipura, Bommakal, Karimnagar, Telangana 505001, India",Not Specified,KALIKAMATHA CEMENT BRICKS,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9059666605,Not Specified,https://maps.app.goo.gl/uTPYxGbaMUtP1bz68,Running
Peddapalli,"Gattusingaram, Telangana 505188, India",Not Specified,KSR Bricks Industry,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/L4nULbDjs6JC6ejk9,Running
Peddapalli,"Rebbaldevipalle, Telangana 505185, India",Not Specified,Sri Bhagyalaxmi cement bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/d3GEPAPvQhF7uC2b8,Running
Peddapalli,"Gattusingaram, Telangana 505188, India",Not Specified,S.B.S Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/LE8b6jiNMLgdpRQ7A,Running
Peddapalli,"Unnamed Road, Peddabonkur, Telangana 505174, India",Not Specified,PVB Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/dXGn9QSugqGZPSKM6,Running
Peddapalli,"Gowreddy pet, Telangana 505174, India",Not Specified,N B C BRICK,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/BVFsyz8YR6ZLZpwo7,Running
Peddapalli,"5-63/1 Garrepalli, Sultanabad, Telangana 505186, India",Not Specified,Sri Rajarajeshwara Cement Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/z2QBJ7JmHZSGg5zr8,Running
