Districts,Location,Founder,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status
Karimnagar,"Plot No: 277&278p, Hari Hara Heights, beside Colony Park, Vignanpuri Colony, Sagar Complex, Sripuram, B.N Reddy Nagar, Hyderabad, Telangana 500112, India",Not Specified,Karimnagar Red Brick Suppliers & Manufacturers - Sri Vigneshwara Enterprises,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9908205490,https://www.karimnagarbrick.in/,https://maps.app.goo.gl/437wvRHcvKeJBkPaA,Running
Karimnagar,"10-91/c, Bommakal Rd, Bommakal, Karimnagar, Telangana 505002, India",Not Specified,Vbc Bricks Bommakal,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Small,9177639999,Not Specified,https://maps.app.goo.gl/oGMJgH8TKz8ZaDFm8,Running
Karimnagar,"Chinthakunta, Karimnagar, Telangana 505002, India",Not Specified,SRB BRICKS INDUSTRY,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/KhCynfM7kSyD5zXZA,Running
Karimnagar,"C4RR+43G, Kisan Nagar, Karimnagar, Telangana 505001, India",Not Specified,vengamamba bricks company,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9441214444,Not Specified,https://maps.app.goo.gl/GK4drjcqU459D49XA,Running
Karimnagar,"veternery polytechnic college Satavahana University, Karimnagar, Telangana 505451, India",Not Specified,CHAND PASHA BRICKS (CHB),Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Small,Not Specified,Not Specified,https://maps.app.goo.gl/hHPMrWzeMoTQj5RKA,Running
Karimnagar,"Chinthakunta, Telangana 505002, India",Not Specified,MALLIKARJUNA BRICKS (M R B),Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,6304252107,Not Specified,https://maps.app.goo.gl/doaPGHP5EtLD2EcV8,Running
Karimnagar,"Theegalagutta Palle, Karimnagar, Telangana 505002, India",Not Specified,Sri Venkateshwara cement Bricks,Manufacturing,Hand Made,Fly Ash Brick,Standard Block,Traditional Clay Factory,Moderate,7013283303,Not Specified,https://maps.app.goo.gl/5Hp6p3nRM2KKsbwBA,Running
Karimnagar,"Karimnagar, Mogdumpur to Chamanapalli, Road, Nagunoor, Telangana 505186, India",Not Specified,Tirumala Industries,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,"Fly Ash Block, Pavers",Fully Automatic Fly Ash Brick Plant,Large,7416119737,Not Specified,https://maps.app.goo.gl/9UktuEx1SYZF5yz57,Running
Karimnagar,"Velichal, Karimnagar, Telangana 505002, India",Not Specified,NVC BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,8019231999,Not Specified,https://maps.app.goo.gl/hCintBAiTsighixY6,Running
Karimnagar,"Hyderabad - Ramagundam Rd, beside HP petrol bunk, beside highway, Nustulapur, Karimnagar, Telangana 505481, India",Not Specified,Hanuman Bricks & Compound Walls,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,"Fly Ash, Walls",Fly Ash Brick Plant,Moderate,9701576282,Not Specified,https://maps.app.goo.gl/Jjyby9D4gEGNMicp9,Running
Karimnagar,"Shiva Nagar, Karimnagar, Telangana 505001, India",Not Specified,Sapthagiri Bricks & Tiles,Manufacturing,Hand Made,Fly Ash Brick,"Fly Ash Block, Pavers",Fly Ash Brick Plant,Small,9440077667,Not Specified,https://maps.app.goo.gl/s1fBkHZV59yyLYPdA,Running
Karimnagar,"H-No. 1, Appolo reach hosipital, Theegalaguttapally, 70 Main Road, Karimnagar, Telangana 505002, India",Not Specified,Laxmi Cement Bricks industries,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9849395811,Not Specified,https://maps.app.goo.gl/pEyzpRQgRDvP4Qev8,Running
Karimnagar,"Kothapalli(Haveli), Telangana 505451, India",Not Specified,As cement bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,8790298091,Not Specified,https://maps.app.goo.gl/3RxDTEoHNMWuGveJA,Running
Karimnagar,"Jaggaiah Pally, Telangana 505469, India",Not Specified,Manikanta Fly Ash/Cement blocks (Bricks),Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9704026285,Not Specified,https://maps.app.goo.gl/aZEKRb63wTRGRsG28,Running
Karimnagar,"4-84, Karimnagar Road, Bornapalle, Huzurabad, Karimnagar, Telangana 505498, India",Not Specified,DECENT CEMENT BRICKS INDUSTRY,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/pUDPRrsF2p9JPhAc9,Running
Karimnagar,"Cherlabutkur, Telangana 505186, India",Not Specified,NSR BRICKS Karimnagar,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,9666699956,Not Specified,https://maps.app.goo.gl/VpenrHDaHyX6qNnz9,Running
Karimnagar,"G33J+HQ, Kothapalli(Haveli), Telangana 505451, India",Not Specified,MANIKANTA CEMENT BRICKS,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Moderate,7013189215,Not Specified,https://maps.app.goo.gl/6yN6jCxbjddcsSYc6,Running
Karimnagar,"Velichal, Kishtaraopalli, Telangana 505451, India",Not Specified,Durga cement bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9966849291,Not Specified,https://maps.app.goo.gl/N44uFP3Zf8HYmTBg6,Running
Karimnagar,"Katnapally, Katnepalle, Telangana 505525, India",Not Specified,Katnapally MBC Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/aJDLNcBE4xbHiu23A,Running
Karimnagar,"Katnapally, Katnepalle, Telangana 505525, India",Not Specified,Anand Rao MBC Bricks Industries,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/a1VD7zSsg8n4jYTD8,Running
Jayashankar Bhupalpally,"Kasimpally, Bhupalpally, Jangedu, Telangana 506169, India",Gopal Krishna,Sri Gopala Krishna Fly Ash Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Small,Not Specified,Not Specified,https://maps.app.goo.gl/5dkvSQCjZoJWxGGB7,Running
Jayashankar Bhupalpally,"BHUPALPALLY by pass road, Gorlavedu, BHUPALPALLY, Telangana 506168, India",Not Specified,Sri Venkateswara fly ash bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9948174719,Not Specified,https://maps.app.goo.gl/wtvYWYMPSzkiSuKu9,Running
Jayashankar Bhupalpally,"223E/1 Regonda Jayashankar Bhupalapally, Telangana 506348, India",Vinodh Kumar,Sri Laxmi Narasimha Flyash Brick Industry and Cement Works,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9989561042,Not Specified,https://maps.app.goo.gl/iz3pMVLkdFvBnFsVA,Running
Jayashankar Bhupalpally,"near AREA HOSPITAL, opposite HP petrol Pump, Manjoor Nagar, Bhupalpally, Kompalle, Telangana 506170, India",Not Specified,JAI HANUMAN FLY ASH BRICKS & INDUSTRIES,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,8897086979,Not Specified,https://maps.app.goo.gl/ic9qnYH454wqAtja7,Temporarily Closed
Jayashankar Bhupalpally,"near reliance petrol pump, Bhupalpally, Telangana 506169, India",Not Specified,SRI SADA SHIVA FLYASH BRICKS INDUSTRY,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Large,Not Specified,Not Specified,https://maps.app.goo.gl/oGRBpo1rek7Zw47G8,Temporarily Closed
Jayashankar Bhupalpally,"Vajinepalli (vill), Mahamutharam (mandal),Jayashankar Bhupalapalli, Dist, Kataram, Telangana 505503, India",Sai Manikanta,MANI SAI Bricks Industry,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9391354302,Not Specified,https://maps.app.goo.gl/DehWx9uTbpYC3fWe6,Running
Jayashankar Bhupalpally,Unknown,Not Specified,JAI HANUMAN FLY ASH BRICKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Large,9989498722,Not Specified,https://maps.app.goo.gl/8mJzvSRcdF9z9AeA6,Temporarily Closed
Sangareddy,"Chimnapur Thanda, Kandi, Sangareddy, Telangana 502284, India",Not Specified,Rahman sath SMR BRICKS MANUFACTURING,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/9NAmiKwTZry4fdZ78,Running
Sangareddy,"Mohd shap, village, Sangareddy, Telangana 502294, India",Not Specified,KVL Bricks supply,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/rXPzK1KfAPFyNzFx7,Running
Sangareddy,"Malkapur, Telangana 502295, India",Ankaiah,SRM BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,9705559957,Not Specified,https://maps.app.goo.gl/wynT5Cc33KevX9uC7,Running
Sangareddy,"Md Shapur Thanda, beside IIT Wall, Sangareddy, Telangana 502284, India",Not Specified,VBI Brick Industries,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9701115809,Not Specified,https://maps.app.goo.gl/AfGEKFE4aPb5CAqw8,Running
Sangareddy,"Kothlapur Rd, Sangareddy, Telangana 502295, India",Not Specified,YKP&VBC BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/9LgH8X4M3LgaDFav9,Running
Sangareddy,"Malkapur, Telangana 502295, India",Not Specified,Mallesham bricks supplies,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/AHJY1GAzULQKi4Kw6,Running
Sangareddy,"Venkatapur, Telangana 502291, India",Not Specified,GMB Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/JeNXMguyBnL9aCYr6,Running
Sangareddy,"Hanumas, Garudadri Heights, Hyderabad, Road No:8c, Bandari Layout, Nizampet, Hyderabad, Telangana 500090, India",Not Specified,Karimnagar Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,9849752239,https://karimnagarbricks.com/,https://maps.app.goo.gl/Zs3SYj1HVNaJmiMD7,Running
Sangareddy,"Pati, Patighanpur, Hyderabad, Telangana 502300, India",Not Specified,Goldrock Bricks,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,Not Specified,https://goldrockbricks.com/,https://maps.app.goo.gl/nDtV7fPVWy1b9NSz6,Running
Sangareddy,"J53R+H9, Hyderabad, Telangana 502296, India",Not Specified,Kalki Bricks - Interlocking Bricks,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Interlocking Block,Fully Automatic Fly Ash Brick Plant,Large,9676888368,https://www.interlockingbricks.in/,https://maps.app.goo.gl/oiiU8vcJKainr1DL6,Running
Sangareddy,"Mohd.Shapur, Telangana 502296, India",Not Specified,NGR BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9505703339,Not Specified,https://maps.app.goo.gl/UGrYJzyAdqAksv9g7,Running
Siddipet,"beside Reliance petrol pump, Siddipet, Nancharpally, Telangana 502277, India",Not Specified,Shiva Sai Bricks Siddipet,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Large,Not Specified,Not Specified,https://maps.app.goo.gl/R9YFXVZicRdqGFGJ7,Running
Siddipet,"3VV5+8M8, Kushal Nagar, Siddipet, Telangana 502103, India",Not Specified,Kohinoor Cement Bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/dmLYT9GUggaLxjDs9,Running
Siddipet,"SY.NO.607 DUDDEDA, Siddipet, Telangana 502277, India",Not Specified,MTB BRICK INDUSTRIES,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9493697676,Not Specified,https://maps.app.goo.gl/hDmDkWsP66KY5W7d8,Running
Siddipet,"Sy no 118 mangol village, Siddipet, Telangana 502301, India",Not Specified,SSR AAC BLOCKS (SREE SAIRAMA INDUSTRIES),Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,6301993664,Not Specified,https://maps.app.goo.gl/2Emf8TZyREDQikmH8,Running
Siddipet,"Vadaeracolany, Boorgupally, Telangana 502103, India",Gopi Krishna,Gopikrishna Flyash bricks industry,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Large,9885509294,Not Specified,https://maps.app.goo.gl/Rc4Hd34utyXYuaFP8,Running
Siddipet,"Siddipet Industrial Park, Mandappally, Nanganoor Mandal, Rajagopalpet, Siddipet, Telangana 502375, India",Not Specified,Inframarket AAC Block Manufacturing Plant - Siddipet,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9606350000,https://infra.market/aac-blocks/?utm_source=Google_Local&utm_medium=organic_local_aac_siddipeth,https://maps.app.goo.gl/cgSaovKP9pgwsGxW7,Running
Siddipet,"Mandal, Ramancha Village Chinnakodur, Sircilla-Siddipet Rd, Siddipet, Telangana 502276, India",Not Specified,HANUMAN AAC BLOCKS,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,7277817781,Not Specified,https://maps.app.goo.gl/pW6BC7frRGtdu7bc7,Running
Siddipet,"H.no-8, Siddipet-Husnabad, 92/1/A/1, Siddipet - Hanamkonda Rd, Husnabad, Telangana 505467, India",Not Specified,Sri rama bricks husnabad,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Large,8688094997,http://www.sriramabricks.com/,https://maps.app.goo.gl/RgBVR7tfeE4TJ2m78,Running
Siddipet,"Siddipet-Husnabad, Mirzapur, Telangana 505466, India",Not Specified,JNK BRICKS INDUSTRY,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,Not Specified,Not Specified,https://maps.app.goo.gl/b993fwJXTW5F6P7b7,Running
Siddipet,"Velikatta x road near Essar petrol pump Hyderabad, to, Jangaon - Siddipet Rd, Siddipet, Telangana 502277, India",Not Specified,"Mother Cement Articles
",Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Moderate,9160312940,Not Specified,https://maps.app.goo.gl/98vXhNygp2SvKPxt5,Running
Jangaon,"Sri Bhaktha Markandeya Swamy Temple , Jangaon, Telangana 506167, India",Kistaiah,Kistaiah mestri Fly ash Cement bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/mnZoBe6PzrJ8yEvy8,Running
Jangaon,"Devarpula - Hanamkonda Rd, near DAYANILAYAM, Pragathi Nagar, Jangaon, Telangana 506167, India",Not Specified,SRI VENKATESHWARA FLY-ASH BRICKS & CEMENT WORKS JANGAON,Manufacturing,Hand Made,Fly Ash Brick,"Pavers, Wall",Fly Ash Brick Plant,Small,9293945718,Not Specified,https://maps.app.goo.gl/dQQYa6aCZnuPgPYB7,Running
Jangaon,"Shamirpet, Jangaon, Telangana 506175, India",Not Specified,"AVA Quality Bricks Suppliers
",Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9505647560,Not Specified,https://maps.app.goo.gl/sUSGDcaAsAcmbhie7,Running
Jangaon,"H no 5-41 Nagireddypalli NAGIREDDY PALLI, Jangaon, Telangana 506221, India",Not Specified,SHADULLA BABA CEMENT BRICKS,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Large,9505734562,Not Specified,https://maps.app.goo.gl/CnmxQXW5dPu5vLZZ9,Running
Jangaon,"17, near Bypass, Alair, Telangana 508101, India",Not Specified,Yuvaraj Red Bricks ,Manufacturing,Hand Made,Fired Clay Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/jmz1EU61P3im3KRa9,Running
Jangaon,"Banjara road, to, Jangaon - Suryapet Rd, Telangana 506303, India",Not Specified,CRK BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Fly Ash Block,Fly Ash Brick Plant,Small,7569885897,Not Specified,https://maps.app.goo.gl/YsmKVDvaDy36KXYCA,Running
Jangaon,"54-3, Pendial, Rampur, Hanamkonda, Telangana 506142, India",Not Specified,Jagadamba interlocking bricks warangal,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Interlocking Block,Fully Automatic Fly Ash Brick Plant,Large,7893490117,Not Specified,https://maps.app.goo.gl/nuidCjkiTXe357eq7,Running
Jangaon,"beside Prasad Hospital, near Diesel colony, Kazipet, Telangana 506003, India",Not Specified,NCL AAC BLOCKS & BUILDING MATERIALS,Manufacturing,Hand Made,"Fired Clay Brick, Fly Ash Brick","Standard Block, Fly Ash Block",Fly Ash Brick Plant,Moderate,9505523000,http://www.kakatiyabricks.com/,https://maps.app.goo.gl/b3a4RkAQVBuhYk1P8,Running
Jangaon,"near saibaba temple, Alair, Telangana 508286, India",Not Specified,"Sri lakshmi narasimha swaami cement bricks
",Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9493023595,Not Specified,https://maps.app.goo.gl/KEVWSTTHxLurXrxM9,Running
Jangaon,"Thelngana gramena, vickas bank, Raghunathapally, Telangana 506244, India",Not Specified,PAVANI CEMENT BRICKS ,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/LpFKB6HNBPqpRF749,Running
Jangaon,"warangal High, Aushapur village, old, opposite of teenmar hotel, Hyderabad, Telangana 501301, India",Not Specified,GARUDA FLYASH BRICKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/vuKhFtKRTeo5FJTG8,Running
Jangaon,"Hasanparti, Telangana 506006, India",Not Specified,"Bilal Bricks Arvapalli
",Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/ufSjcyN25K5VMdvW7,Running
Jangaon,"road, Komatpalli, Devannapet, Warangal, Telangana 506370, India",Not Specified,SRI VINAYAKA FLY ASH BRICKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9502277783,Not Specified,https://maps.app.goo.gl/TqfdzeSVsTCSodCA6,Running
Jangaon,"Jangaon - Siddipet Rd, Brundavan colony, Jangaon, Telangana 506167, India",Not Specified,Tr bricks& traders,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/pkHyq7nR2VnTpVFH8,Temporarily Closed
Hanumakonda,Not Specified,Not Specified,KAKATIYA BRICKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/W5c4RGYpiaJSDgcn9,Running
Hanumakonda,"Waddepally, Hanamkonda, Telangana 506015, India",Not Specified,Nirmala Brick Industries,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9848228375,Not Specified,https://maps.app.goo.gl/96mGSKoYMruk1tBm9,Running
Hanumakonda,"Bheemaram, Hanamkonda, Telangana 506009, India",Not Specified,Bhagyalaxmi Cement Work,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,"Fly Ash Block, Wall",Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/DG9bx4znBd2ZZyYL6,Running
Hanumakonda,"Filter Bed, the right side Nava Bharath Colony to, near Waddepally, Hanamkonda, Telangana 506370, India",Not Specified,Shantha Industry | Best Fly Ash Bricks in Hanamkonda,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9849424564,http://shanthaindustry.com/,https://maps.app.goo.gl/WvGb17YdusULdc9h9,Running
Hanumakonda,"Husanparthy, Karimnagar Rd, Hanamkonda, Telangana 506001, India",Not Specified,SURYA BRICKS & BUILDING MATERIALS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,9110760271,Not Specified,https://maps.app.goo.gl/om29mm5CRCgKHutw9,Running
Hanumakonda,"Svy No : 1720/B, Mdl: Inavolu, Vi:kondaparthy, Kondaparthy, Telangana 506003, India",Not Specified,K-LITE AAC BLOCKS,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,7989247420,Not Specified,https://maps.app.goo.gl/JzXeTcuVovbash356,Running
Hanumakonda,"Beside Thalluri Complex, Fort Rd, Warangal, Telangana 506002, India",Not Specified,Manikanta Cement Bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9440596210,Not Specified,https://maps.app.goo.gl/1ndSpwPvcue718cg8,Running
Hanumakonda,"2GVG+XRP, Bheemaram, Hanamkonda, Chinthagattu, Telangana 506015, India",Not Specified,ECO Interlocking Bricks,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/Dfjv7XJn4S2KGLKM9,Running
Hanumakonda,"behind enumamula market, Deshaipet, Warangal, Telangana 506006, India",Not Specified,Mnk bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9849099867,Not Specified,https://maps.app.goo.gl/EYCDnfeobbSc6fC2A,Running
Hanumakonda,"Main Road, opposite Kundana Wines, Kadipikonda, Kazipet, Telangana 506003, India",Not Specified,Sri Krishna Cement Bricks Industries,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/9wvg3EEpw5VHJgiy9,Running
Hanumakonda,"Gavicherla cross road, Rangashaipet, Warangal, Telangana 506005, India",Shiva,Shiva Building Materials & Cement Bricks Suppliers,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9704924445,Not Specified,https://maps.app.goo.gl/pSt4GcaLow6Bco879,Running
Hanumakonda,"Kazipet, Telangana 506003, India",Not Specified,Vinayaka cement bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,Not Specified,Not Specified,https://maps.app.goo.gl/7qwWhrztzZuGh2159,Running
Hanumakonda,"25-11-274, Bapujinagar, Kazipet, WARANGAL, Telangana, 506003",Not Specified,KAKATIYA INDUSTRIES,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Large,Not Specified,https://www.kakatiyabricks.com/,https://maps.app.goo.gl/LnLabofoy71GTZDs7,Running
Hanumakonda,"3-14-633/1/A, Vinayaka Nagar, Vinayak Nagar, Kotthur Janda, Naim Nagar, Hanamkonda, Telangana 506001, India",Not Specified,Arjun Cement Flyash Bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,7997425778,Not Specified,https://maps.app.goo.gl/A4MfvfGtmdBgXvx8A,Running
Hanumakonda,"WC8R+PX9, Warangal, Telangana 506151, India",Rajanikanth,Sri Rudra Teja Fly Ash Cement Bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,Not Specified,Not Specified,https://maps.app.goo.gl/JgvnzQ5gRASPEGHu5,Running
Hanumakonda,"Shop No 24, 6, Khammam - Warangal Hwy, beside Reliance Petrol Bunk, Mamnoor, Warangal, Telangana 506005, India",Not Specified,Ganapathi Flyash Bricks & Freecasting Walls,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Moderate,9014612598,Not Specified,https://maps.app.goo.gl/Pw9TV4QPu6pXwhFF9,Running
Hanumakonda,"2GG4+JV, Devannapet, Telangana 506370, India",Not Specified,AKSHARA FLYASH CEMENT BRICKS,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9949608322,Not Specified,https://maps.app.goo.gl/mmT6358Z4QbRdNF3A,Running
Hanumakonda,"7-98, Road, opposite to SS5 gardens, Gavicherla, Warangal, Telangana 506005, India",Not Specified,Sri Laxmi Shiva Sai cement Bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,7842537127,Not Specified,https://maps.app.goo.gl/K48CSMTFWs4c7fjY8,Running
Hanumakonda,"Grain Market Road, beside BHARATH PETROL PUMP, Balaji Nagar, Warangal, Telangana 506002, India",Not Specified,VENKATESHWARA CEMENT BRICKS & RCC COMPOUND WALLS,Manufacturing,Hand Made,Fly Ash Brick,"Fly Ash Block, Wall",Fly Ash Brick Plant,Moderate,7780539649,Not Specified,https://maps.app.goo.gl/y5Cf5YoHAveA5hfC6,Running
Hanumakonda,"Waddepallu, Parimala Colony, Saptagiri Colony, Waddepalle Rural, Telangana 506370, India",Not Specified,"HIRANMAI BRICKS ,Constructions,Precast Materials",Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9949663161,Not Specified,https://maps.app.goo.gl/77GGu7hBV8p44LdR7,permanently closed
Hanumakonda,"5-11-1313, Vinayak Nagar, Hanamkonda, Telangana 506001, India",Not Specified,Laxmiganapathi Bricks,Manufacturing,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9014157447,Not Specified,https://maps.app.goo.gl/4vnE9HHQ3SXAcczP8,permanently closed
Hanumakonda,"WHQV+26G, Khammam - Warangal Hwy, opp. SSS bar, Ramannapet, Warangal, Telangana 506005, India",Not Specified,Sri Vinayaka Cement Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/krpMxwV9MtBUxs329,Temporarily Closed
